prix,taille_moteur,poids_vehicule,chevaux,consommation_autoroute,consommation_ville,largeur,longueur,roues_motrices_propulsion,empattement,systeme_carburant_1bbl,turbo_atmosphérique,marque_toyota,etat_de_route_1,type_vehicule_berline compacte,emplacement_moteur_avant,type_moteur_ohc,systeme_carburant_2bbl,roues_motrices_traction,nombre_cylindres_four
13495.0,2.130323,1155.752416,111,8.711629629629629,11.200666666666669,1.6281399999999997,4.28752,1.0,2.25,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
16500.0,2.130323,1155.752416,111,8.711629629629629,11.200666666666669,1.6281399999999997,4.28752,1.0,2.25,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
16500.0,2.4908392000000004,1280.490216,154,9.046692307692307,12.379684210526316,1.6637,4.34848,1.0,2.4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
13950.0,1.7861939000000002,1060.044504,102,7.840466666666667,9.800583333333334,1.68148,4.48564,0.0,2.53,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
17450.0,2.2286456,1280.943808,115,10.691545454545455,13.067444444444444,1.68656,4.48564,0.0,2.52,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
15250.0,2.2286456,1137.155144,110,9.40856,12.379684210526316,1.68402,4.50342,0.0,2.53,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
17710.0,2.2286456,1290.015648,110,9.40856,12.379684210526316,1.81356,4.89458,0.0,2.69,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
18920.0,2.2286456,1339.910768,110,9.40856,12.379684210526316,1.81356,4.89458,0.0,2.69,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
23875.0,2.1467101000000004,1399.784912,140,11.7607,13.836117647058824,1.81356,4.89458,0.0,2.69,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
17859.167,2.1467101000000004,1384.816376,160,10.691545454545455,14.700875,1.72466,4.52628,0.0,2.53,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
16430.0,1.7698068000000002,1086.35284,101,8.110827586206897,10.226695652173913,1.6459199999999998,4.4907200000000005,1.0,2.57,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
16925.0,1.7698068000000002,1086.35284,101,8.110827586206897,10.226695652173913,1.6459199999999998,4.4907200000000005,1.0,2.57,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
20970.0,2.6874844,1229.23432,121,8.4005,11.200666666666669,1.6459199999999998,4.4907200000000005,1.0,2.57,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
21105.0,2.6874844,1254.18188,121,8.4005,11.200666666666669,1.6459199999999998,4.4907200000000005,1.0,2.57,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
24565.0,2.6874844,1385.72356,121,9.40856,11.7607,1.69926,4.8006,1.0,2.63,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
30760.0,3.4249039000000003,1465.10216,182,10.691545454545455,14.700875,1.69926,4.8006,1.0,2.63,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
41315.0,3.4249039000000003,1533.14096,182,10.691545454545455,14.700875,1.72466,4.9225200000000005,1.0,2.63,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
36880.0,3.4249039000000003,1589.83996,182,11.7607,15.680933333333334,1.80086,5.0038,1.0,2.79,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
5151.0,0.9996131,674.944896,48,4.438,5.004553191489362,1.5316199999999998,3.58394,0.0,2.25,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
6295.0,1.4748390000000002,850.0314079999999,70,5.470093023255814,6.189842105263158,1.61544,3.95986,0.0,2.4,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6575.0,1.4748390000000002,865.907128,70,5.470093023255814,6.189842105263158,1.61544,4.03352,0.0,2.4,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
5572.0,1.4748390000000002,850.938592,68,5.736926829268293,6.357135135135136,1.62052,3.99542,0.0,2.38,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6377.0,1.4748390000000002,850.938592,68,6.189842105263158,7.587548387096774,1.62052,3.99542,0.0,2.38,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7957.0,1.6059358,965.243776,102,7.840466666666667,9.800583333333334,1.62052,3.99542,0.0,2.38,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
6229.0,1.4748390000000002,892.215464,68,6.189842105263158,7.587548387096774,1.62052,3.99542,0.0,2.38,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6692.0,1.4748390000000002,902.194488,68,6.189842105263158,7.587548387096774,1.62052,3.99542,0.0,2.38,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
