etat_de_route,carburant,turbo,nombre_portes,type_vehicule,roues_motrices,emplacement_moteur,empattement,longueur,largeur,hauteur,poids_vehicule,type_moteur,nombre_cylindres,taille_moteur,systeme_carburant,taux_alésage,course,taux_compression,chevaux,tour_moteur,consommation_ville,consommation_autoroute,prix,marque,modèle
3,essence,atmosphérique,deux,convertible,propulsion,avant,2.25,4.28752,1.6281399999999997,1.23952,1155.752416,dohc,four,2.130323,mpfi,88.138,68.072,9.0,111,5000,11.200666666666667,8.711629629629629,13495.0,alfa-romero,giulia
3,essence,atmosphérique,deux,convertible,propulsion,avant,2.25,4.28752,1.6281399999999997,1.23952,1155.752416,dohc,four,2.130323,mpfi,88.138,68.072,9.0,111,5000,11.200666666666667,8.711629629629629,16500.0,alfa-romero,stelvio
1,essence,atmosphérique,deux,berline compacte,propulsion,avant,2.4,4.3484799999999995,1.6637,1.33096,1280.490216,ohcv,six,2.4908392000000004,mpfi,68.072,88.138,9.0,154,5000,12.379684210526316,9.046692307692307,16500.0,alfa-romero,Quadrifoglio
2,essence,atmosphérique,quatre,berline,traction,avant,2.53,4.48564,1.68148,1.37922,1060.044504,ohc,four,1.7861939000000002,mpfi,81.026,86.36,10.0,102,5500,9.800583333333334,7.840466666666667,13950.0,audi,100ls
2,essence,atmosphérique,quatre,berline,quatre roues motrices,avant,2.52,4.48564,1.68656,1.37922,1280.943808,ohc,five,2.2286456,mpfi,81.026,86.36,8.0,115,5500,13.067444444444444,10.691545454545455,17450.0,audi,100ls
2,essence,atmosphérique,deux,berline,traction,avant,2.53,4.50342,1.6840199999999999,1.34874,1137.155144,ohc,five,2.2286456,mpfi,81.026,86.36,8.5,110,5500,12.379684210526316,9.40856,15250.0,audi,fox
1,essence,atmosphérique,quatre,berline,traction,avant,2.69,4.8945799999999995,1.81356,1.41478,1290.015648,ohc,five,2.2286456,mpfi,81.026,86.36,8.5,110,5500,12.379684210526316,9.40856,17710.0,audi,100ls
1,essence,atmosphérique,quatre,break,traction,avant,2.69,4.8945799999999995,1.81356,1.41478,1339.910768,ohc,five,2.2286456,mpfi,81.026,86.36,8.5,110,5500,12.379684210526316,9.40856,18920.0,audi,5000
1,essence,turbo,quatre,berline,traction,avant,2.69,4.8945799999999995,1.81356,1.41986,1399.784912,ohc,five,2.1467101000000004,mpfi,79.502,86.36,8.3,140,5500,13.836117647058824,11.7607,23875.0,audi,4000
0,essence,turbo,deux,berline compacte,quatre roues motrices,avant,2.53,4.52628,1.72466,1.3208,1384.816376,ohc,five,2.1467101000000004,mpfi,79.502,86.36,7.0,160,5500,14.700875,10.691545454545455,17859.167,audi,5000s (diesel)
2,essence,atmosphérique,deux,berline,propulsion,avant,2.57,4.4907200000000005,1.6459199999999998,1.37922,1086.35284,ohc,four,1.7698068000000002,mpfi,88.89999999999999,71.11999999999999,8.8,101,5800,10.226695652173913,8.110827586206897,16430.0,bmw,320i
0,essence,atmosphérique,quatre,berline,propulsion,avant,2.57,4.4907200000000005,1.6459199999999998,1.37922,1086.35284,ohc,four,1.7698068000000002,mpfi,88.89999999999999,71.11999999999999,8.8,101,5800,10.226695652173913,8.110827586206897,16925.0,bmw,320i
0,essence,atmosphérique,deux,berline,propulsion,avant,2.57,4.4907200000000005,1.6459199999999998,1.37922,1229.23432,ohc,six,2.6874844,mpfi,84.074,81.026,9.0,121,4250,11.200666666666667,8.4005,20970.0,bmw,x1
0,essence,atmosphérique,quatre,berline,propulsion,avant,2.57,4.4907200000000005,1.6459199999999998,1.37922,1254.18188,ohc,six,2.6874844,mpfi,84.074,81.026,9.0,121,4250,11.200666666666667,8.4005,21105.0,bmw,x3
1,essence,atmosphérique,quatre,berline,propulsion,avant,2.63,4.8006,1.69926,1.41478,1385.72356,ohc,six,2.6874844,mpfi,84.074,81.026,9.0,121,4250,11.7607,9.40856,24565.0,bmw,z4
0,essence,atmosphérique,quatre,berline,propulsion,avant,2.63,4.8006,1.69926,1.41478,1465.10216,ohc,six,3.4249039000000003,mpfi,91.948,86.106,8.0,182,5400,14.700875,10.691545454545455,30760.0,bmw,x4
0,essence,atmosphérique,deux,berline,propulsion,avant,2.63,4.9225200000000005,1.72466,1.36398,1533.14096,ohc,six,3.4249039000000003,mpfi,91.948,86.106,8.0,182,5400,14.700875,10.691545454545455,41315.0,bmw,x5
0,essence,atmosphérique,quatre,berline,propulsion,avant,2.79,5.0038,1.8008600000000001,1.4300199999999998,1589.83996,ohc,six,3.4249039000000003,mpfi,91.948,86.106,8.0,182,5400,15.680933333333334,11.7607,36880.0,bmw,x3
2,essence,atmosphérique,deux,berline compacte,traction,avant,2.25,3.5839399999999997,1.5316199999999998,1.35128,674.944896,l,three,0.9996131000000001,2bbl,73.914,76.96199999999999,9.5,48,5100,5.004553191489362,4.438,5151.0,chevrolet,impala
1,essence,atmosphérique,deux,berline compacte,traction,avant,2.4,3.95986,1.61544,1.3208,850.0314079999999,ohc,four,1.4748390000000002,2bbl,76.96199999999999,78.99399999999999,9.6,70,5400,6.189842105263158,5.470093023255814,6295.0,chevrolet,monte carlo
0,essence,atmosphérique,quatre,berline,traction,avant,2.4,4.03352,1.61544,1.3208,865.907128,ohc,four,1.4748390000000002,2bbl,76.96199999999999,78.99399999999999,9.6,70,5400,6.189842105263158,5.470093023255814,6575.0,chevrolet,vega 2300
1,essence,atmosphérique,deux,berline compacte,traction,avant,2.38,3.99542,1.62052,1.29032,850.938592,ohc,four,1.4748390000000002,2bbl,75.438,82.042,9.41,68,5500,6.3571351351351355,5.736926829268293,5572.0,dodge,rampage
1,essence,atmosphérique,deux,berline compacte,traction,avant,2.38,3.99542,1.62052,1.29032,850.938592,ohc,four,1.4748390000000002,2bbl,75.438,82.042,9.4,68,5500,7.587548387096774,6.189842105263158,6377.0,dodge,challenger se
1,essence,turbo,deux,berline compacte,traction,avant,2.38,3.99542,1.62052,1.29032,965.243776,ohc,four,1.6059358000000001,mpfi,76.96199999999999,86.106,7.6,102,5500,9.800583333333334,7.840466666666667,7957.0,dodge,d200
1,essence,atmosphérique,quatre,berline compacte,traction,avant,2.38,3.99542,1.62052,1.28524,892.215464,ohc,four,1.4748390000000002,2bbl,75.438,82.042,9.4,68,5500,7.587548387096774,6.189842105263158,6229.0,dodge,monaco (sw)
1,essence,atmosphérique,quatre,berline,traction,avant,2.38,3.99542,1.62052,1.28524,902.194488,ohc,four,1.4748390000000002,2bbl,75.438,82.042,9.4,68,5500,7.587548387096774,6.189842105263158,6692.0,dodge,colt hardtop
1,essence,atmosphérique,quatre,berline,traction,avant,2.38,3.99542,1.62052,1.28524,902.194488,ohc,four,1.4748390000000002,2bbl,75.438,82.042,9.4,68,5500,7.587548387096774,6.189842105263158,7609.0,dodge,colt (sw)
1,essence,turbo,deux,berline,traction,avant,2.38,3.99542,1.62052,1.28524,993.820072,ohc,four,1.6059358000000001,mpfi,76.96199999999999,86.106,7.6,102,5500,9.800583333333334,7.840466666666667,8558.0,dodge,coronet custom
-1,essence,atmosphérique,quatre,break,traction,avant,2.62,4.4348399999999994,1.6408399999999999,1.5189199999999998,1149.85572,ohc,four,1.9992262000000003,2bbl,84.836,87.884,8.5,88,5000,9.800583333333334,7.840466666666667,8921.0,dodge,dart custom
3,essence,turbo,deux,berline compacte,traction,avant,2.44,4.399279999999999,1.6840199999999999,1.27508,1275.047112,ohc,four,2.5563876000000003,mfi,91.44,99.05999999999999,7.0,145,5000,12.379684210526316,9.800583333333334,12964.0,dodge,coronet custom (sw)
2,essence,atmosphérique,deux,berline compacte,traction,avant,2.2,3.67284,1.62306,1.29032,777.003096,ohc,four,1.5076132000000002,1bbl,73.914,86.614,9.6,58,4800,4.800285714285714,4.355814814814814,6479.0,honda,civic
2,essence,atmosphérique,deux,berline compacte,traction,avant,2.2,3.67284,1.62306,1.29032,825.083848,ohc,four,1.5076132000000002,1bbl,73.914,86.614,9.2,76,6000,7.587548387096774,6.189842105263158,6855.0,honda,civic cvcc
1,essence,atmosphérique,deux,berline compacte,traction,avant,2.38,3.81,1.6256,1.33604,833.248504,ohc,four,1.2945809000000001,1bbl,73.914,77.978,10.1,60,5500,6.189842105263158,5.600333333333333,5399.0,honda,civic
1,essence,atmosphérique,deux,berline compacte,traction,avant,2.38,3.81,1.6256,1.33604,879.96848,ohc,four,1.5076132000000002,1bbl,73.914,86.614,9.2,76,6000,7.840466666666667,6.918058823529412,6529.0,honda,accord cvcc
1,essence,atmosphérique,deux,berline compacte,traction,avant,2.38,3.81,1.6256,1.33604,887.225952,ohc,four,1.5076132000000002,1bbl,73.914,86.614,9.2,76,6000,7.840466666666667,6.918058823529412,7129.0,honda,civic cvcc
0,essence,atmosphérique,quatre,berline,traction,avant,2.45,4.15036,1.6256,1.3842999999999999,911.71992,ohc,four,1.5076132000000002,1bbl,73.914,86.614,9.2,76,6000,7.840466666666667,6.918058823529412,7295.0,honda,accord lx
0,essence,atmosphérique,quatre,break,traction,avant,2.45,3.9903399999999998,1.62306,1.4808199999999998,918.070208,ohc,four,1.5076132000000002,1bbl,74.16799999999999,86.614,9.2,76,6000,7.840466666666667,6.918058823529412,7295.0,honda,civic 1500 gl
0,essence,atmosphérique,deux,berline compacte,traction,avant,2.45,4.2545,1.65608,1.3538199999999998,1014.231712,ohc,four,1.8025810000000002,1bbl,80.00999999999999,90.932,9.0,86,5800,8.711629629629629,7.12769696969697,7895.0,honda,accord
0,essence,atmosphérique,deux,berline compacte,traction,avant,2.45,4.2545,1.65608,1.3538199999999998,1038.272088,ohc,four,1.8025810000000002,1bbl,80.00999999999999,90.932,9.0,86,5800,8.711629629629629,7.12769696969697,9095.0,honda,civic 1300
0,essence,atmosphérique,quatre,berline,traction,avant,2.45,4.45516,1.65608,1.37414,1045.075968,ohc,four,1.8025810000000002,1bbl,80.00999999999999,90.932,9.0,86,5800,8.711629629629629,7.12769696969697,8845.0,honda,prelude
0,essence,atmosphérique,quatre,berline,traction,avant,2.45,4.45516,1.5875,1.37414,1075.920224,ohc,four,1.8025810000000002,1bbl,80.00999999999999,90.932,9.0,86,5800,8.711629629629629,7.12769696969697,10295.0,honda,accord
